Target,Cq,SQ
Tot_Vib,13.25882995,6083000
Tot_Vib,13.55775118,6083000
Tot_Vib,13.51778277,6083000
Tot_Vib,13.53380765,6083000
Tot_Vib,13.49527039,6083000
Tot_Vib,17.154193,608000
Tot_Vib,16.98696536,608000
Tot_Vib,17.01553367,608000
Tot_Vib,16.76683065,608000
Tot_Vib,16.90718154,608000
Tot_Vib,20.41749331,60800
Tot_Vib,20.31443608,60800
Tot_Vib,20.5019704,60800
Tot_Vib,20.13999636,60800
Tot_Vib,20.23183326,60800
Tot_Vib,24.02121521,6080
Tot_Vib,23.78892926,6080
Tot_Vib,23.68053529,6080
Tot_Vib,23.82527202,6080
Tot_Vib,23.66931665,6080
Tot_Vib,26.96415978,608
Tot_Vib,26.43714217,608
Tot_Vib,26.70174534,608
Tot_Vib,26.69629733,608
Tot_Vib,26.55054049,608
Tot_Vib,30.48877804,60.8
Tot_Vib,30.55331952,60.8
Tot_Vib,28.62167194,60.8
Tot_Vib,30.68273952,60.8
Tot_Vib,30.47758304,60.8
Tot_Vib,33.90445614,6.08
Tot_Vib,33.42313111,6.08
Tot_Vib,33.13805519,6.08
Tot_Vib,34.87041686,6.08
Tot_Vib,34.23358537,6.08
Tot_Vib,NA,0.608
Tot_Vib,NA,0.608
Tot_Vib,36.38884024,0.608
Tot_Vib,35.70579223,0.608
Tot_Vib,35.59306752,0.608
,,
