Sample,Cq
BO_7,NaN
BO_7,NaN
BO_7,NaN
BO_14,NaN
BO_14,NaN
BO_14,NaN
C2_7,NaN
C2_7,NaN
C2_7,NaN
C2_14,NaN
C2_14,42.69779796
C2_14,NaN
RD_7,35.65271622
RD_7,NaN
RD_7,36.60404338
RD_14,38.5295814
RD_14,41.5987791
RD_14,38.14507006
BO_8,NaN
BO_8,NaN
BO_8,NaN
BO_15,NaN
BO_15,NaN
BO_15,NaN
C2_8,NaN
C2_8,NaN
C2_8,43.00854116
C2_15,42.91924591
C2_15,NaN
C2_15,NaN
RD_8,36.10025388
RD_8,34.78705614
RD_8,34.41686814
RD_15,34.80115312
RD_15,36.19398574
RD_15,35.45592353
BO_9,NaN
BO_9,NaN
BO_9,NaN
BO_16,NaN
BO_16,NaN
BO_16,NaN
C2_9,NaN
C2_9,NaN
C2_9,NaN
C2_16,38.65203904
C2_16,37.89994166
C2_16,42.65490016
RD_9,34.13507162
RD_9,35.42224359
RD_9,34.01701814
RD_16,NaN
RD_16,33.79798091
RD_16,36.29220654
BO_11,NaN
BO_11,NaN
BO_11,NaN
BO_17,NaN
BO_17,NaN
BO_17,NaN
C2_11,36.23240961
C2_11,34.79956856
C2_11,36.82560232
C2_17,33.68318462
C2_17,36.7512363
C2_17,34.42104623
RD_11,36.38263333
RD_11,34.91601011
RD_11,36.21574933
RD_17,38.23030266
RD_17,37.48708414
RD_17,NaN
BO_12,NaN
BO_12,NaN
BO_12,NaN
BO_18,NaN
BO_18,NaN
BO_18,NaN
C2_12,36.77287274
C2_12,42.84714559
C2_12,37.09295185
C2_18,43.35921998
C2_18,40.04463773
C2_18,NaN
RD_12,34.73063725
RD_12,38.14210299
RD_12,34.83795816
RD_18,35.10156147
RD_18,34.83608131
RD_18,35.31722375
BO_13,NaN
BO_13,NaN
BO_13,NaN
BO_19,NaN
BO_19,NaN
BO_19,NaN
C2_13,40.45185307
C2_13,NaN
C2_13,37.7225436
C2_19,NaN
C2_19,NaN
C2_19,NaN
RD_13,42.545524
RD_13,34.24539857
RD_13,36.05737862
RD_19,40.87666545
RD_19,NaN
RD_19,39.45673105
BO,NaN
BO,NaN
BO,NaN
BO,NaN
BO,NaN
BO,NaN
C2,NaN
C2,NaN
C2,NaN
C2,NaN
C2,NaN
C2,NaN
RD,NaN
RD,NaN
RD,NaN
RD,NaN
RD,NaN
RD,NaN
BO,NaN
BO,NaN
BO,NaN
BO,NaN
BO,NaN
BO,NaN
C2,NaN
C2,NaN
C2,NaN
C2,NaN
C2,NaN
C2,NaN
RD,NaN
RD,NaN
RD,NaN
RD,31.37221762
RD,31.24278466
RD,31.01045753
BO,NaN
BO,NaN
BO,NaN
BO,NaN
BO,NaN
BO,NaN
C2,NaN
C2,NaN
C2,NaN
C2,NaN
C2,NaN
C2,NaN
RD,NaN
RD,NaN
RD,NaN
RD,NaN
RD,NaN
RD,NaN
BO,NaN
BO,NaN
BO,NaN
BO,NaN
BO,NaN
BO,NaN
C2,NaN
C2,NaN
C2,NaN
C2,NaN
C2,NaN
C2,32.48762981
RD,NaN
RD,NaN
RD,NaN
RD,NaN
RD,NaN
RD,NaN
BO,NaN
BO,NaN
BO,NaN
BO,NaN
BO,NaN
BO,NaN
C2,NaN
C2,NaN
C2,NaN
C2,NaN
C2,NaN
C2,NaN
RD,NaN
RD,NaN
RD,NaN
RD,NaN
RD,44.49001402
RD,NaN
BO,NaN
BO,NaN
BO,NaN
BO,NaN
BO,NaN
BO,NaN
C2,NaN
