copies_assay,Sample,lod
0.4032,BO_7,bad
0.4032,BO_7,bad
0.4032,BO_7,bad
0.4032,BO_14,bad
0.4032,BO_14,bad
0.4032,BO_14,bad
0.4032,C2_7,bad
0.4032,C2_7,bad
0.4032,C2_7,bad
0.4032,C2_14,bad
0.4032,C2_14,bad
0.4032,C2_14,bad
1.431935751387264,RD_7,good
0.4032,RD_7,bad
0.4032,RD_7,bad
0.4032,RD_14,bad
0.4032,RD_14,bad
0.4032,RD_14,bad
0.4032,BO_8,bad
0.4032,BO_8,bad
0.4032,BO_8,bad
0.4032,BO_15,bad
0.4032,BO_15,bad
0.4032,BO_15,bad
0.4032,C2_8,bad
0.4032,C2_8,bad
0.4032,C2_8,bad
0.4032,C2_15,bad
0.4032,C2_15,bad
0.4032,C2_15,bad
1.0403349348139055,RD_8,good
2.656468119746892,RD_8,good
3.45998486700594,RD_8,good
2.6298689855437556,RD_15,good
0.9730013463891863,RD_15,good
1.647916787904828,RD_15,good
0.4032,BO_9,bad
0.4032,BO_9,bad
0.4032,BO_9,bad
0.4032,BO_16,bad
0.4032,BO_16,bad
0.4032,BO_16,bad
0.4032,C2_9,bad
0.4032,C2_9,bad
0.4032,C2_9,bad
0.4032,C2_16,bad
0.4032,C2_16,bad
0.4032,C2_16,bad
4.230967927649472,RD_9,good
1.688018069767608,RD_9,good
4.602988804630896,RD_9,good
0.4032,RD_16,bad
5.382055244421816,RD_16,good
0.9071142545761739,RD_16,good
0.4032,BO_11,bad
0.4032,BO_11,bad
0.4032,BO_11,bad
0.4032,BO_17,bad
0.4032,BO_17,bad
0.4032,BO_17,bad
0.94667491161522,C2_11,good
2.6328455009345997,C2_11,good
0.4032,C2_11,bad
5.841690064451316,C2_17,good
0.4032,C2_17,bad
3.4496804301935398,C2_17,good
0.8504071940331324,RD_11,good
2.422841122620648,RD_11,good
0.9580012217877059,RD_11,good
0.4032,RD_17,bad
0.4032,RD_17,bad
0.4032,RD_17,bad
0.4032,BO_12,bad
0.4032,BO_12,bad
0.4032,BO_12,bad
0.4032,BO_18,bad
0.4032,BO_18,bad
0.4032,BO_18,bad
0.4032,C2_12,bad
0.4032,C2_12,bad
0.4032,C2_12,bad
0.4032,C2_18,bad
0.4032,C2_18,bad
0.4032,C2_18,bad
2.765643432074568,RD_12,good
0.4032,RD_12,bad
2.56167143609256,RD_12,good
2.12225880855378,RD_18,good
2.565105944110392,RD_18,good
1.8194345976212278,RD_18,good
0.4032,BO_13,bad
0.4032,BO_13,bad
0.4032,BO_13,bad
0.4032,BO_19,bad
0.4032,BO_19,bad
0.4032,BO_19,bad
0.4032,C2_13,bad
0.4032,C2_13,bad
0.4032,C2_13,bad
0.4032,C2_19,bad
0.4032,C2_19,bad
0.4032,C2_19,bad
0.4032,RD_13,bad
3.9105244494581997,RD_13,good
1.0726692283562196,RD_13,good
0.4032,RD_19,bad
0.4032,RD_19,bad
0.4032,RD_19,bad
